2015/09/21;98 %; 
2015/09/22;31 %; 
2015/09/23;20 %; 
2015/09/24;97 %; 
2015/09/25;5 %; 
2015/09/26;61 %; 
2015/09/27;86 %; 
2015/09/28;1 %; 
2015/09/29;91 %; 
2015/09/30;48 %; 
2015/10/01;11 %; 
2015/10/02;98 %; 
2015/10/03;36 %; 
2015/10/04;33 %; 
2015/10/05;94 %; 
2015/10/06;5 %; 
2015/10/07;55 %; 
2015/10/08;73 %; 
2015/10/09;3 %; 
2015/10/10;91 %; 
2015/10/11;54 %; 
2015/10/12;21 %; 
2015/10/13;99 %; 
2015/10/14;14 %; 
2015/10/15;38 %; 
2015/10/16;85 %; 
2015/10/17;0 %; 
2015/10/18;79 %; 
2015/10/19;70 %; 
2015/10/20;11 %; 
2015/10/21;99 %; 
2015/10/22;29 %; 
2015/10/23;24 %; 
2015/10/24;94 %; 
2015/10/25;3 %; 
2015/10/26;63 %; 
2015/10/27;83 %; 
2015/10/28;3 %; 
2015/10/29;94 %; 
2015/10/30;46 %; 
2015/10/31;12 %; 
2015/11/01;23 %; 
2015/11/02;100 %; 
2015/11/03;23 %; 
2015/11/04;53 %; 
2015/11/05;84 %; 
2015/11/06;1 %; 
2015/11/07;70 %; 
2015/11/08;53 %; 
2015/11/09;10 %; 
2015/11/10;97 %; 
2015/11/11;38 %; 
2015/11/12;40 %; 
2015/11/13;94 %; 
2015/11/14;7 %; 
2015/11/15;54 %; 
2015/11/16;67 %; 
2015/11/17;2 %; 
2015/11/18;88 %; 
2015/11/19;53 %; 
2015/11/20;26 %; 
2015/11/21;100 %; 
2015/11/22;18 %; 
2015/11/23;40 %; 
2015/11/24;81 %; 
2015/11/25;0 %; 
2015/11/26;75 %; 
2015/11/27;67 %; 
2015/11/28;13 %; 
2015/11/29;99 %; 
2015/11/30;34 %; 
2015/12/01;27 %; 
2015/12/02;100 %; 
2015/12/03;18 %; 
2015/12/04;62 %; 
2015/12/05;81 %; 
2015/12/06;0 %; 
2015/12/07;76 %; 
2015/12/08;45 %; 
2015/12/09;13 %; 
2015/12/10;98 %; 
2015/12/11;31 %; 
2015/12/12;48 %; 
2015/12/13;93 %; 
2015/12/14;5 %; 
2015/12/15;62 %; 
2015/12/16;60 %; 
2015/12/17;4 %; 
2015/12/18;91 %; 
2015/12/19;45 %; 
2015/12/20;32 %; 
2015/12/21;99 %; 
2015/12/22;15 %; 
2015/12/23;49 %; 
2015/12/24;76 %; 
2015/12/25;0 %; 
2015/12/26;78 %; 
2015/12/27;58 %; 
2015/12/28;17 %; 
2015/12/29;100 %; 
2015/12/30;29 %; 
2015/12/31;35 %; 
2016/01/01;9 %; 
2016/01/02;48 %; 
2016/01/03;92 %; 
2016/01/04;1 %; 
2016/01/05;86 %; 
2016/01/06;61 %; 
2016/01/07;4 %; 
2016/01/08;97 %; 
2016/01/09;20 %; 
2016/01/10;31 %; 
2016/01/11;98 %; 
2016/01/12;7 %; 
2016/01/13;73 %; 
2016/01/14;77 %; 
2016/01/15;0 %; 
2016/01/16;89 %; 
2016/01/17;35 %; 
2016/01/18;16 %; 
2016/01/19;100 %; 
2016/01/20;16 %; 
2016/01/21;57 %; 
2016/01/22;90 %; 
2016/01/23;1 %; 
2016/01/24;79 %; 
2016/01/25;53 %; 
2016/01/26;6 %; 
2016/01/27;96 %; 
2016/01/28;27 %; 
2016/01/29;39 %; 
2016/01/30;97 %; 
